年度,醫事機構代碼,院所名稱,特約類別,人工膝關節置換後90天內發生手術傷口感染之案件數,人工膝關節置換案件數,人工膝關節置換病人數,傷口感染率,人工膝關節置換醫師數,病患平均年齡,病患重大傷病比率,分母重大傷病人數,縣市別,鄉鎮別
2014年全年度,0101090517,臺北市立聯合醫院,2,3.0000,140.0000,134,2.14%,19,71.6567,8.96%,12,63000,63000060
2015年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,69.0000,68,0%,17,72.8529,8.82%,6,63000,63000060
2015年全年度,0101090517,臺北市立聯合醫院,2,3.0000,161.0000,155,1.86%,20,73.1161,7.74%,12,63000,63000060
2016年上半年度,0101090517,臺北市立聯合醫院,2,3.0000,79.0000,79,3.8%,19,71.7594,13.92%,11,63000,63000060
2016年全年度,0101090517,臺北市立聯合醫院,2,4.0000,182.0000,175,2.2%,23,71.7257,9.71%,17,63000,63000060
2017年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,96.0000,93,2.08%,23,70.2688,13.98%,13,63000,63000060
2017年全年度,0101090517,臺北市立聯合醫院,2,2.0000,231.0000,218,0.87%,26,71.9174,17.43%,38,63000,63000060
2018年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,106.0000,104,0%,20,72.2596,15.38%,16,63000,63000060
2018年全年度,0101090517,臺北市立聯合醫院,2,3.0000,247.0000,235,1.21%,26,72.2808,13.62%,32,63000,63000060
2019年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,111.0000,109,1.8%,24,72.8165,12.84%,14,63000,63000060
2019年全年度,0101090517,臺北市立聯合醫院,2,3.0000,228.0000,217,1.32%,29,72.7373,12.44%,27,63000,63000060
2020年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,92.0000,88,0%,20,72.8295,9.09%,8,63000,63000060
2020年全年度,0101090517,臺北市立聯合醫院,2,2.0000,235.0000,221,0.85%,28,73.0452,12.67%,28,63000,63000060
2021年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,106.0000,106,0%,23,73.3018,14.15%,15,63000,63000060
2021年全年度,0101090517,臺北市立聯合醫院,2,0.0000,205.0000,200,0%,27,72.2600,13.5%,27,63000,63000060
2022年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,86.0000,86,2.33%,19,73.6395,16.28%,14,63000,63000060
2022年全年度,0101090517,臺北市立聯合醫院,2,2.0000,210.0000,197,0.95%,30,72.4720,16.75%,33,63000,63000060
2023年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,159.0000,154,1.26%,23,73.4155,10.39%,16,63000,63000060
2023年全年度,0101090517,臺北市立聯合醫院,2,4.0000,321.0000,296,1.25%,26,73.1587,14.19%,42,63000,63000060
2024年上半年度,0101090517,臺北市立聯合醫院,2,2.0000,176.0000,172,1.14%,30,72.9418,17.44%,30,63000,63000060
2024年全年度,0101090517,臺北市立聯合醫院,2,4.0000,386.0000,366,1.04%,32,73.1284,15.3%,56,63000,63000060
2025年上半年度,0101090517,臺北市立聯合醫院,2,0.0000,182.0000,178,0%,26,72.3707,11.8%,21,63000,63000060
2014年全年度,0102020011,高雄市立聯合醫院,2,0.0000,22.0000,18,0%,5,73.3888,22.22%,4,64000,64000020
