年別,抗憂鬱藥物使用人數,性別＿男,性別＿女,年齡別＿30歲以下,年齡別＿31－40歲,年齡別＿41－50歲,年齡別＿51－65歲,年齡別＿65歲以上,臺北業務組,北區業務組,中區業務組,南區業務組,高屏業務組,東區業務組,臺北業務組＿新北市,臺北業務組＿臺北市,臺北業務組＿基隆市,臺北業務組＿宜蘭縣,臺北業務組＿金門縣,臺北業務組＿連江縣,北區業務組＿桃園市,北區業務組＿新竹市,北區業務組＿新竹縣,北區業務組＿苗栗縣,中區業務組＿臺中市,中區業務組＿彰化縣,中區業務組＿南投縣,南區業務組＿臺南市,南區業務組＿嘉義市,南區業務組＿雲林縣,南區業務組＿嘉義縣,高屏業務組＿高雄市,高屏業務組＿屏東縣,高屏業務組＿澎湖縣,東區業務組＿花蓮縣,東區業務組＿臺東縣
94,791224,338709,452515,124063,114808,149683,194363,208307,253436,111784,159707,128992,131516,25261,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
95,791932,337890,454042,113421,111495,150628,200548,215840,259669,112297,164613,126324,123765,25424,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
96,812279,342728,469551,109130,113153,154526,211550,223920,266505,115090,172165,126751,126252,25200,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
97,846317,356255,490062,108665,117088,161430,224669,234465,278453,119643,177872,133175,131710,25478,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
98,874930,366268,508662,106507,119162,166298,238197,244766,289098,122150,182961,138013,137166,26009,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
99,903569,380373,523196,105857,122219,168769,252601,254123,298280,126380,185931,142743,144643,26186,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
100,944278,396991,547287,106414,127272,174303,273113,263176,314177,131807,193349,147011,152533,26941,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
101,983490,414498,568992,103904,131864,179791,294600,273331,322399,138959,202257,152702,162062,27409,123969,170434,15616,23405,1669,271,87382,21503,14506,18362,132436,51754,22053,81366,27733,28342,19062,133684,27671,3111,18080,9580
102,1141151,474018,667133,112469,151952,204405,355838,316487,371160,156670,239460,179258,187068,32565,149543,189812,18239,25915,1655,186,96952,25209,16381,21185,155555,62699,25647,90622,35308,36928,20940,153468,31876,4415,21238,11608
103,1165942,484237,681705,113325,154987,203144,366462,328024,380967,159867,242684,183500,189958,33708,156688,193908,17778,25583,1446,162,98836,25632,16984,21486,157842,63561,25666,93783,36000,37355,20831,156103,32178,4326,22012,11948
104,1194395,494473,699922,115740,157364,203075,376098,342118,388105,162634,249068,188982,195940,34869,159606,197384,19377,25035,1468,165,102508,24674,17383,20944,161434,65307,26693,96807,38377,37318,20942,160433,33789,4457,22384,12733
105,1212659,500503,712156,118186,156341,201624,382557,353951,394253,166647,253679,192703,196740,33646,162989,199466,19793,24991,1427,187,104821,25666,18271,20863,163980,67485,26339,99810,39833,36936,20465,162037,32723,4544,21948,11925
106,1273561,524146,749415,127508,158838,210426,398506,378283,413365,178371,265414,201673,208240,33625,173431,206280,20849,26572,1356,209,113749,26645,19321,21787,171964,70788,27097,105166,40838,38704,21414,172618,33385,4978,22531,11344
107,1330204,542825,787379,143024,159344,215587,409989,402260,432782,187704,276106,209198,219484,33513,181146,217632,21215,27254,1456,231,119837,28544,20147,22422,179930,72725,28124,110830,42009,39942,20978,182302,35020,5068,22737,10979
108,1397197,565222,831975,162402,163451,222640,421768,426936,452657,201897,290115,218332,229576,35518,191679,226235,21986,27610,1793,235,127487,31258,23912,23078,189392,76513,29086,116502,43466,41631,21623,189604,37781,5209,23847,11903
109,1468716,589275,879441,188624,170490,232137,429739,447726,473464,216590,303056,227536,245094,36825,204554,234573,22162,27824,2116,263,135022,34739,27222,23797,199089,79304,29761,123647,43906,41916,22941,203872,38956,5370,24829,12234
110,1542703,614668,928035,199333,175131,242801,446844,478594,496174,227644,320673,239206,258060,38891,221123,241460,23230,28572,2289,314,140974,37270,29288,24871,212005,83209,30792,131365,45392,43892,23818,214994,40965,5400,25963,13182
111,1651544,657339,994205,215948,184029,260758,471750,519059,528334,247505,344269,255131,274708,40774,234832,256309,25003,29371,2423,322,152644,39692,33755,26529,228887,88803,32304,140495,48420,46860,25027,228560,44007,5683,27192,13835
112,1712222,685141,1027081,221426,184478,270246,483386,552686,550763,257360,355690,263641,284283,41128,246573,265773,25719,30575,2577,333,158167,40714,36061,27559,237353,92191,32173,146477,48971,47873,26226,235840,46278,5827,27435,13972
113,1752653,702058,1050595,229847,186477,276635,483960,575734,563257,265954,364376,268202,290465,41975,252138,271874,25974,31213,2845,411,163314,41006,38691,28182,244672,93545,32102,152785,47944,47413,26068,240770,47490,5865,27367,14861
